EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
"GENERICS & SPECIALITIES, Lda",SUCCICORT,Hidrocortizina,100mg,Infusao intravenosa,Frasco de vidro de 100ml
"GENERICS & SPECIALITIES, Lda",MPENEX,Imipenem + Cilastina,500mg,Injectavel,Frasco de 20ml
"GENERICS & SPECIALITIES, Lda",MAXINEM,Meropenem,1g,Injectavel,Frasco de 30ml
"GENERICS & SPECIALITIES, Lda",MAXINEM,Meropenem,500mg,Injectavel,Frasco de 30ml
"GENERICS & SPECIALITIES, Lda",IVIXONE,Cefriaxona,1g,Injectavel,Frasco de vidro de 10ml
"GENERICS & SPECIALITIES, Lda",GEN C,Ácido ascórbico,50mg,Comprimidos mastigaveis,Embalagem contendo 10 blisters de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",FOTARAN,Ceftazidima,1g,Infusao intravenosa,Frasco de vidro de 20ml
"GENERICS & SPECIALITIES, Lda",CEFTRIMAX,Ceftriaxona + Sulbactan,1g + 500mg,Injectavel,Embalagem contendo frasco de vidro de 20ml
FARMA HOLDINGS SA,Fulphila,Pegfilgrastim,6mg/0.6ml,Solucao injectavel,Seringa Pre-cheia de0.6ml
"MEDIS FARMACÊUTICA, LDA",TRISPORIN,Cefdinir,125mg/5ml,Suspensão oral,frasco de 100ml
"MEDIS FARMACÊUTICA, LDA",TRISPORIN,Cefdinir,300mg,Comprimidos revestidos,Embalagem de 1 blister de 10 comprimidos
"TMI - HEALTHCARE, LDA",SEVOCRIS,Sevoflurano,1v/v,Solução para inalação,frasco de 100ml e de 250ml
"MEDIS FARMACÊUTICA, LDA",PATIZRA,Ranibizumab,10mg/ml,Solucao injectavel,Frasco de 0.23ml
